date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:28	38881/38881	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2002:44:28%20GMT	http://guyswanson.com/HomePage.html	I:/Guy%20Website/guy%20website/guyswanson.com/HomePage.html	(from )
19:44:29	38/38	---M--	200	added ('OK')	text/plain	etag:%22100000000e5b5-26-37f7538b897f8%22	http://guyswanson.com/robots.txt		(from )
19:44:29	4428/4428	---M--	200	added ('OK')	text/css	etag:%22100000000db85-114c-5c0db6dd6568c%22	http://www.guyswanson.com/photogal.css	I:/Guy%20Website/guy%20website/www.guyswanson.com/photogal.css	(from http://guyswanson.com/HomePage.html)
19:44:31	23621/23621	---M--	200	added ('OK')	image/jpeg	etag:%225000000000919-5c45-5c0db3ebc8e8e%22	http://www.guyswanson.com/graphics/fence2.jpg	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/fence2.jpg	(from http://guyswanson.com/HomePage.html)
19:44:32	9533/9533	---M--	200	added ('OK')	image/png	etag:%227000000000858-253d-5c0d88c4f90db%22	http://www.guyswanson.com/graphics/guyswanson.png	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/guyswanson.png	(from http://guyswanson.com/HomePage.html)
19:44:32	13101/13101	---M--	200	added ('OK')	image/png	etag:%226000000000854-332d-5c0d74cdfe68b%22	http://www.guyswanson.com/graphics/welcome.png	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/welcome.png	(from http://guyswanson.com/HomePage.html)
19:44:34	6399/6399	---M--	200	added ('OK')	image/jpeg	etag:%226000000000877-18ff-5c0d851cac5d9%22	http://www.guyswanson.com/graphics/concretebg.jpg	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/concretebg.jpg	(from http://www.guyswanson.com/photogal.css)
19:44:35	20274/20274	---M--	200	added ('OK')	image/jpeg	etag:%22800000000102f-4f32-5e2d6997513fb%22	http://www.guyswanson.com/graphics/5133.JPG	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/5133.jpg	(from http://guyswanson.com/HomePage.html)
19:44:36	46194/46194	---M--	200	added ('OK')	image/jpeg	etag:%225000000000831-b472-5c0d71dd20a4f%22	http://www.guyswanson.com/graphics/masthead4.jpg	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/masthead4.jpg	(from http://guyswanson.com/HomePage.html)
19:44:36	18292/18292	---M--	200	added ('OK')	image/jpeg	etag:%22a000000000869-4774-5c0d91434a6b7%22	http://www.guyswanson.com/graphics/menubg.jpg	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/menubg.jpg	(from http://www.guyswanson.com/photogal.css)
19:44:37	46291/46291	---M--	200	added ('OK')	image/jpeg	etag:%229000000000843-b4d3-5c0e88b39ecbd%22	http://www.guyswanson.com/graphics/5034.jpg	I:/Guy%20Website/guy%20website/www.guyswanson.com/graphics/5034.jpg	(from http://guyswanson.com/HomePage.html)
